class_hex,popcount,cluster_size,id_a,id_b,role_a,role_b
0x00000005,2,52,0x04041001,0x0e041001,,
0x00000005,2,52,0x080c8300,0x08188300,,
0x00000005,2,52,0x080c8300,0x085c8300,,
0x00000005,2,52,0x08148300,0x081e8300,,
0x00000005,2,52,0x08188300,0x081d8300,,
0x00000005,2,52,0x09ce0610,0x0cce0610,,
0x00000005,2,52,0x0cce0610,0x18ce0610,,
0x00000005,2,52,0x10b85810,0x10b91810,,
0x00000005,2,52,0x10b91810,0x10b94810,,
0x00000005,2,52,0x10b9181c,0x10b9481c,,
0x00000005,2,52,0x10b94810,0x10b95c10,,
0x00000005,2,52,0x10b9481c,0x10b95c1c,,
0x00000005,2,52,0x10b95010,0x10b95a10,,
0x00000005,2,52,0x10b95010,0x10b97810,,
0x00000005,2,52,0x10b9501c,0x10b95a1c,,
0x00000005,2,52,0x10b9501c,0x10b9781c,,
0x00000005,2,52,0x10b97810,0x10b9d810,,
0x00000005,2,52,0x10b9781c,0x10b9d81c,,
0x00000005,2,52,0x10b9d810,0x10bb5810,,
0x00000005,2,52,0x18e88310,0x18e88910,,
0x00000005,2,52,0x2e811804,0x2e839804,,
0x00000005,2,52,0x3080840d,0x30808e0d,,
0x00000005,2,52,0x400c989d,0x400c9a1d,,
0x00000005,2,52,0x400c9a1d,0x40189a1d,,
0x00000005,2,52,0x408a1c10,0x40da1c10,,
0x00000005,2,52,0x408a1c10,0x41ca1c10,,
0x00000005,2,52,0x408a2c10,0x40da2c10,,
0x00000005,2,52,0x40b18011,0x40b48011,,
0x00000005,2,52,0x40c21c10,0x40ea1c10,,
0x00000005,2,52,0x40c22c10,0x40ea2c10,,
0x00000005,2,52,0x41ca1c10,0x44ca1c10,,
0x00000005,2,52,0x42ca1c10,0x48ca1c10,,
0x00000005,2,52,0x462c6040,0x46386040,,
0x00000005,2,52,0x46346040,0x463e6040,,
0x00000005,2,52,0x48209640,0x49609640,,
0x00000005,2,52,0x492c8430,0x612c8430,,
0x00000005,2,52,0x4aee0118,0x62ee0118,Shriney Guard boss slamming down animation,
0x00000005,2,52,0x4baf8200,0x63af8200,Shriney Guard boss yelling animation,
0x00000005,2,52,0x4c02d240,0x4ca2d240,,
0x00000005,2,52,0x5a89815f,0x5ad9815f,,
0x00000005,2,52,0x60181a0c,0x61581a0c,,
0x00000005,2,52,0x800da102,0x800da116,,
0x00000005,2,52,0x800da102,0x800da152,,
0x00000005,2,52,0x800da11a,0x800da132,,
0x00000005,2,52,0xb0107444,0xb0b07444,,
0x00000005,2,52,0xb0107444,0xb2907444,,
0x00000005,2,52,0xb0807444,0xb0d07444,,
0x00000005,2,52,0xb0d07444,0xb1907444,,
0x00000005,2,52,0xb468d0c6,0xbe68d0c6,,
0x00000005,2,52,0xc8648260,0xc864d260,,
0x00000009,2,27,0x00ce0610,0x09ce0610,,
0x00000009,2,27,0x080c8300,0x081e8300,,
0x00000009,2,27,0x08148300,0x081d8300,,
0x00000009,2,27,0x08148300,0x085c8300,,
0x00000009,2,27,0x0ace0610,0x18ce0610,,
0x00000009,2,27,0x0cce0610,0x28ce0610,,
0x00000009,2,27,0x10b85810,0x10b97810,,
0x00000009,2,27,0x10b91810,0x10b95010,,
0x00000009,2,27,0x10b91810,0x10bb5810,,
0x00000009,2,27,0x10b9181c,0x10b9501c,,
0x00000009,2,27,0x10b94810,0x10b95a10,,
0x00000009,2,27,0x10b94810,0x10b9d810,,
0x00000009,2,27,0x10b9481c,0x10b95a1c,,
0x00000009,2,27,0x10b9481c,0x10b9d81c,,
0x00000009,2,27,0x10b95c10,0x10b97810,,
0x00000009,2,27,0x10b95c1c,0x10b9781c,,
0x00000009,2,27,0x408a1c10,0x40c21c10,,
0x00000009,2,27,0x408a1c10,0x42ca1c10,,
0x00000009,2,27,0x408a2c10,0x40c22c10,,
0x00000009,2,27,0x40ea1c10,0x41ca1c10,,
0x00000009,2,27,0x41ca1c10,0x48ca1c10,,
0x00000009,2,27,0x462c6040,0x463e6040,,
0x00000009,2,27,0x800da116,0x800da132,,
0x00000009,2,27,0x800da11a,0x800da152,,
0x00000009,2,27,0xb0107444,0xb0807444,,
0x00000009,2,27,0xb0b07444,0xb1907444,,
0x00000009,2,27,0xb0d07444,0xb2907444,,
0x00283063,8,20,0x2a6e0410,0x7a0ec210,,
0x00283063,8,20,0x326e0410,0x620ec210,,
0x00283063,8,20,0x326e0410,0x92af8810,,
0x00283063,8,20,0x46269090,0x4c2a8850,,
0x00283063,8,20,0x46269090,0x523ea110,,
0x00283063,8,20,0x492c8430,0x4baf8200,,Shriney Guard boss yelling animation
0x00283063,8,20,0x492c8430,0x4c2a8850,,
0x00283063,8,20,0x4a1ea052,0x4a4ec094,,
0x00283063,8,20,0x4a3ea110,0x5e269090,Menu door opens to reveal monkey animation,
0x00283063,8,20,0x4a3ea110,0x620ec210,Menu door opens to reveal monkey animation,
0x00283063,8,20,0x4a4ec094,0x4aee0118,,Shriney Guard boss slamming down animation
0x00283063,8,20,0x4aee0118,0x4baf8200,Shriney Guard boss slamming down animation,Shriney Guard boss yelling animation
0x00283063,8,20,0x512c8430,0x53af8200,,
0x00283063,8,20,0x512c8430,0x542a8850,,
0x00283063,8,20,0x523ea110,0x7a0ec210,,
0x00283063,8,20,0x524ec094,0x52ee0118,,
0x00283063,8,20,0x52ee0118,0x53af8200,,
0x00283063,8,20,0x542a8850,0x5e269090,,
0x00283063,8,20,0x612c8430,0x63af8200,,
0x00283063,8,20,0x62ee0118,0x63af8200,,
0x00000011,2,18,0x080c8300,0x081d8300,,
0x00000011,2,18,0x08188300,0x085c8300,,
0x00000011,2,18,0x09ce0610,0x18ce0610,,
0x00000011,2,18,0x0ace0610,0x28ce0610,,
0x00000011,2,18,0x10b85810,0x10b94810,,
0x00000011,2,18,0x10b91810,0x10b95c10,,
0x00000011,2,18,0x10b9181c,0x10b95c1c,,
0x00000011,2,18,0x10b95010,0x10b9d810,,
0x00000011,2,18,0x10b9501c,0x10b9d81c,,
0x00000011,2,18,0x10b95a10,0x10b97810,,
0x00000011,2,18,0x10b95a1c,0x10b9781c,,
0x00000011,2,18,0x10b97810,0x10bb5810,,
0x00000011,2,18,0x408a1c10,0x44ca1c10,,
0x00000011,2,18,0x40da1c10,0x41ca1c10,,
0x00000011,2,18,0x40ea1c10,0x42ca1c10,,
0x00000011,2,18,0x800da116,0x800da152,,
0x00000011,2,18,0xb0807444,0xb1907444,,
0x00000011,2,18,0xb0b07444,0xb2907444,,
0x00000001,1,17,0x069480a0,0x069580a0,,
0x00000001,1,17,0x1cf99931,0x1df99931,,
0x00000001,1,17,0x1cf99931,0x1ef99931,,
0x00000001,1,17,0x28a0c119,0x38a0c119,,
0x00000001,1,17,0x30a0c119,0x38a0c119,,
0x00000001,1,17,0x410800f9,0x410808f9,,
0x00000001,1,17,0x410808f9,0x410818f9,,
0x00000001,1,17,0x4c02d240,0x4c22d240,,
0x00000001,1,17,0x4c22d240,0x4c62d240,,
0x00000001,1,17,0x4c22d240,0x4ca2d240,,
0x00000001,1,17,0x60a91c9c,0x60a91d9c,,
0x00000001,1,17,0x60a91c9c,0x61a91c9c,,
0x00000001,1,17,0x60aa1c9c,0x60aa1e9c,,
0x00000001,1,17,0x60aa1c9c,0x62aa1c9c,,
0x00000001,1,17,0x60b93cbd,0x60b9bcbd,,
0x00000001,1,17,0x7622c165,0x7623c165,,
0x00000001,1,17,0xa0cc18d0,0xa0cc1cd0,,
0x007850a5,10,17,0x2a6e0410,0x523ea110,,
0x007850a5,10,17,0x326e0410,0x4a3ea110,,Menu door opens to reveal monkey animation
0x007850a5,10,17,0x46269090,0x492c8430,,
0x007850a5,10,17,0x46269090,0x7a0ec210,,
0x007850a5,10,17,0x492c8430,0x4aee0118,,Shriney Guard boss slamming down animation
0x007850a5,10,17,0x4a1ea052,0x4aee0118,,Shriney Guard boss slamming down animation
0x007850a5,10,17,0x4a3ea110,0x542a8850,Menu door opens to reveal monkey animation,
0x007850a5,10,17,0x4a4ec094,0x4baf8200,,Shriney Guard boss yelling animation
0x007850a5,10,17,0x4baf8200,0x4c2a8850,Shriney Guard boss yelling animation,
0x007850a5,10,17,0x4c2a8850,0x523ea110,,
0x007850a5,10,17,0x512c8430,0x52ee0118,,
0x007850a5,10,17,0x512c8430,0x5e269090,,
0x007850a5,10,17,0x524ec094,0x53af8200,,
0x007850a5,10,17,0x53af8200,0x542a8850,,
0x007850a5,10,17,0x5e269090,0x620ec210,,
0x007850a5,10,17,0x612c8430,0x62ee0118,,
0x007850a5,10,17,0x620ec210,0x92af8810,,
0x00d89129,10,14,0x2a6e0410,0x46269090,,
0x00d89129,10,14,0x326e0410,0x5e269090,,
0x00d89129,10,14,0x46269090,0x4baf8200,,Shriney Guard boss yelling animation
0x00d89129,10,14,0x492c8430,0x4a4ec094,,
0x00d89129,10,14,0x492c8430,0x523ea110,,
0x00d89129,10,14,0x4a1ea052,0x4baf8200,,Shriney Guard boss yelling animation
0x00d89129,10,14,0x4a3ea110,0x512c8430,Menu door opens to reveal monkey animation,
0x00d89129,10,14,0x4a3ea110,0x92af8810,Menu door opens to reveal monkey animation,
0x00d89129,10,14,0x4aee0118,0x4c2a8850,Shriney Guard boss slamming down animation,
0x00d89129,10,14,0x4c2a8850,0x7a0ec210,,
0x00d89129,10,14,0x512c8430,0x524ec094,,
0x00d89129,10,14,0x52ee0118,0x542a8850,,
0x00d89129,10,14,0x53af8200,0x5e269090,,
0x00d89129,10,14,0x542a8850,0x620ec210,,
0x00000021,2,13,0x081e8300,0x085c8300,,
0x00000021,2,13,0x09ce0610,0x28ce0610,,
0x00000021,2,13,0x10b85810,0x10b95010,,
0x00000021,2,13,0x10b91810,0x10b95a10,,
0x00000021,2,13,0x10b9181c,0x10b95a1c,,
0x00000021,2,13,0x10b94810,0x10bb5810,,
0x00000021,2,13,0x10b95c10,0x10b9d810,,
0x00000021,2,13,0x10b95c1c,0x10b9d81c,,
0x00000021,2,13,0x408a1c10,0x48ca1c10,,
0x00000021,2,13,0x40c21c10,0x41ca1c10,,
0x00000021,2,13,0x40da1c10,0x42ca1c10,,
0x00000021,2,13,0x40ea1c10,0x44ca1c10,,
0x00000021,2,13,0xb0807444,0xb2907444,,
