suffix_a,suffix_b,id_a,id_b,calc_hash_prefix,shift_prefix,prefix_matches,role_a,role_b,levels_a,levels_b
1,2,0x492c8430,0x512c8430,0x3d8c842d,25,,,,WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,3,0x492c8430,0x612c8430,0x3d8c842d,25,,,,WIZZ,FOOD;SNOW
1,2,0x49609640,0x49a09640,0x3c0eca2c,20,,,,,
1,2,0x4a3ea110,0x523ea110,0x5fc8202d,25,,Menu door opens to reveal monkey animation,,MENU,EGGS
1,2,0x4a4ec094,0x524ec094,0x51c410ad,25,,,,GLEN,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SOAR;TMPL;WEED;WIZZ
1,2,0x4aee0118,0x52ee0118,0x45dc212d,25,,Shriney Guard boss slamming down animation,,MEGA,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,3,0x4aee0118,0x62ee0118,0x45dc212d,25,,Shriney Guard boss slamming down animation,,MEGA,BRG1
1,2,0x4baf8200,0x53af8200,0x6dec422d,25,,Shriney Guard boss yelling animation,,MEGA,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,3,0x4baf8200,0x63af8200,0x6dec422d,25,,Shriney Guard boss yelling animation,,MEGA,FOOD;SNOW
1,2,0x4c02d240,0x4c62d240,0x9c464a2c,19,,,,,
1,3,0x4c02d240,0x4ca2d240,0x9c464a2c,19,,,,,
1,2,0x4c2a8850,0x542a8850,0x9d4d082d,25,,,,WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,2,0x4c62d240,0x4ca2d240,0x9c464a2c,20,,,,,
1,2,0x51200640,0x61200640,0x3c1cca2d,26,,,,,
1,2,0x512c8430,0x612c8430,0x3d8c842d,26,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,FOOD;SNOW
1,2,0x52ee0118,0x62ee0118,0x45dc212d,26,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BRG1
1,2,0x53af8200,0x63af8200,0x6dec422d,26,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,FOOD;SNOW
1,2,0x5a89815f,0x5ab9815f,0x4b2c29ce,18,,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
1,3,0x5a89815f,0x5ad9815f,0x4b2c29ce,18,,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
1,2,0x5ab9815f,0x5ad9815f,0x4b2c29ce,19,,,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL
1,2,0x60181a0c,0x61981a0c,0x0b1f43a9,21,,,Plain monkey enemy,PHRO;SCIE,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
1,3,0x60181a0c,0x61581a0c,0x131f43a9,20,,,,PHRO;SCIE,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
1,2,0x60a91c9c,0x60aa1c9c,0x0d1f91a9,14,,,,BRG1,BRG1
1,2,0x60b98cbd,0x60b9bcbd,0x0f2f9589,10,,,,BRG1;PHRO;TMPL,BRG1
1,2,0x61581a0c,0x61981a0c,0x3b1f43a9,20,,,Plain monkey enemy,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
1,2,0x620ec210,0x7a0ec210,0x59c44028,25,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,EGGS
1,2,0x62318245,0x7a318245,0x5e2c4a88,25,,,,,
1,2,0x6a351094,0x6c351094,0x1ebe10a8,23,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,2,0x6d209c95,0xed209c94,0xbc0f9098,29,,,,CSTL,CSTL
1,2,0x70204350,0x70404350,0x1814682b,19,,,,,
1,2,0x7c108242,0x7c108244,0x9a0c4a2a,31,,,,,
1,2,0x800da102,0x800da11a,0x19a82375,1,,,,KLOG,KLOG
1,2,0x800da102,0x800da132,0x19a82075,2,,,,KLOG,KLOG
1,3,0x800da102,0x800da116,0x19a822f5,0,,,,KLOG,KLOG
1,3,0x800da102,0x800da152,0x19a82075,2,,,,KLOG,KLOG
1,2,0x800da116,0x800da11a,0x19a82075,0,,,,KLOG,KLOG
1,3,0x800da11a,0x800da132,0x19a82075,1,,,,KLOG,KLOG
1,2,0x800da132,0x800da152,0x19a82075,3,,,,KLOG,KLOG
1,2,0x81421850,0x82421850,0x105f0835,22,,,,WIZZ,WIZZ
1,2,0xa9387d8c,0xc9387d8c,0x3f13b3b4,27,,,,CLOU,CLOU
1,2,0xb0107444,0xb0d07444,0x12128ab3,20,,,,,
1,2,0xb0107444,0xb1907444,0x0a128ab3,21,,,,,
1,3,0xb0107444,0xb0b07444,0x1e128ab3,19,,,,,
1,3,0xb0107444,0xb2907444,0x0a128ab3,21,,,,,
1,2,0xb0807444,0xb0b07444,0x0a128ab3,18,,,,,
1,3,0xb0807444,0xb0d07444,0x0a128ab3,18,,,,,
1,2,0xb0b07444,0xb0d07444,0x0a128ab3,19,,,,,
1,3,0xb0d07444,0xb1907444,0x0a128ab3,20,,,,,
1,2,0xb1907444,0xb2907444,0x0a128ab3,22,,,,,
1,2,0xb468d0c6,0xb868d0c6,0x15061af3,24,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,3,0xb468d0c6,0xbe68d0c6,0xd5061af3,23,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,2,0xb868d0c6,0xbe68d0c6,0x55061af2,23,,,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ
1,2,0xc8648260,0xc864b260,0x148e4e3c,10,,,,,
1,3,0xc8648260,0xc864d260,0x148e4e3c,10,,,,,
1,2,0xc864b260,0xc864d260,0x148e4e3c,11,,,,,
1,2,0xe00e989d,0xe00e991d,0x19cf0199,5,,,,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL
1,2,0xf03391e9,0xf033a1e9,0x1e6c3f1b,10,,,,,
2,3,0x006e0046,0x00ae0046,0x1ddc0ae5,19,,,,,
2,3,0x00ce0610,0x0cce0610,0x81dcc025,23,,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
2,3,0x00ce0610,0x18ce0610,0x01dcc024,24,,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
2,3,0x04041001,0x08041001,0x189e0205,23,,,,,
2,3,0x08041001,0x0e041001,0x589e0204,22,,,,,
2,3,0x080c8300,0x08148300,0x188c6224,16,,,,EVIL,EVIL;FINN;RUNN
2,3,0x08148300,0x08188300,0x1a0c6224,15,,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
2,3,0x08188300,0x081e8300,0x1b4c6224,14,,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
2,3,0x081d8300,0x081e8300,0x1b8c6224,13,,,,EVIL;FINN;RUNN,EVIL;FINN;RUNN
2,3,0x09ce0610,0x0ace0610,0x01dcc024,21,,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
2,3,0x0ace0610,0x0cce0610,0x01dcc024,22,,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
2,3,0x0b0811bb,0x0b081dbb,0x791eb544,7,,,,HEAD,HEAD
2,3,0x10b85810,0x10b9d810,0x0f070027,12,,,,FINN,FINN
2,3,0x10b85810,0x10bb5810,0x0f370027,13,,,,FINN,FINN
2,3,0x10b91810,0x10b9181c,0x0f3f00a7,31,,,,FINN,FINN
2,3,0x10b91810,0x10b97810,0x0f3b0027,10,,,,FINN,FINN
