id_hex,tokenA,tokenB,full,score,visual_label
0x0005c699,LISTS,CEDENT,LISTSCEDENT,0,
0x0005c699,LISTS,SLIDER,LISTSSLIDER,0,
0x0005c699,USSELF,PLIES,USSELFPLIES,0,
0x000ac607,RIGGER,FROUZY,RIGGERFROUZY,0,
0x00100125,MEWARD,SAGGER,MEWARDSAGGER,0,
0x00100125,SHEIKS,UNCLIP,SHEIKSUNCLIP,0,
0x00100125,TUPIKS,RATTAN,TUPIKSRATTAN,0,
0x00388110,MESNE,HYAHYA,MESNEHYAHYA,0,
0x004c9138,BOWESS,REHEAD,BOWESSREHEAD,0,
0x00c60046,ERRITE,USABLE,ERRITEUSABLE,0,
0x00c60046,IMPALM,EMETIN,IMPALMEMETIN,0,
0x00c60046,RETINT,PALMED,RETINTPALMED,0,
0x00ce0610,REINA,ENTONE,REINAENTONE,0,
0x00e2f188,BURMAN,UNIOLA,BURMANUNIOLA,0,
0x00e2f188,ECESIC,NAVELY,ECESICNAVELY,0,
0x00e2f188,MUCUNA,RELOVE,MUCUNARELOVE,0,
0x00e2f188,MUSKED,LENDEE,MUSKEDLENDEE,0,
0x00e2f188,SURRAS,SOCLES,SURRASSOCLES,0,
0x00e49240,ELBOIC,DHONI,ELBOICDHONI,0,
0x02098010,BELEFT,CRUIVE,BELEFTCRUIVE,0,
0x02098010,BELEFT,UNGIVE,BELEFTUNGIVE,0,
0x02098010,SHADES,EATCHE,SHADESEATCHE,0,
0x02102152,MODENA,RUGINE,MODENARUGINE,0,
0x0220a173,FEODUM,BYRON,FEODUMBYRON,0,
0x0244655d,MOLLS,HOBBIL,MOLLSHOBBIL,0,
0x0244655d,WELLY,BOBBED,WELLYBOBBED,0,
0x04041001,BOCCI,SHAMIM,BOCCISHAMIM,0,
0x04041001,BOCCI,SIMIID,BOCCISIMIID,0,
0x04041001,BONSER,SWAGE,BONSERSWAGE,0,
0x04041001,BURRER,JUNTA,BURRERJUNTA,0,
0x04041001,INDYL,BONSAI,INDYLBONSAI,0,
0x04041001,SALINE,CRAIG,SALINECRAIG,0,
0x04041001,SALINE,CRAPY,SALINECRAPY,0,
0x04041001,SANGH,JACARE,SANGHJACARE,0,
0x04041001,SHAMIM,COCCI,SHAMIMCOCCI,0,
0x04041001,SIMIID,COCCI,SIMIIDCOCCI,0,
0x04041001,TUNDER,JUNTO,TUNDERJUNTO,0,
0x04041001,TUNISH,AFOAM,TUNISHAFOAM,0,
0x04084011,ASKANT,VIZARD,ASKANTVIZARD,0,
0x04084011,BALLAD,COMPED,BALLADCOMPED,0,
0x04084011,BAUD,CARIYO,BAUDCARIYO,0,
0x04084011,BOGOTA,CRANTS,BOGOTACRANTS,0,
0x04084011,BORUCA,CARBON,BORUCACARBON,0,
0x04084011,BROO,MACUCA,BROOMACUCA,0,
0x04084011,BRUANG,JARVIE,BRUANGJARVIE,0,
0x04084011,ESCA,CARSON,ESCACARSON,0,
0x04084011,EVADES,YAPOCK,EVADESYAPOCK,0,
0x04084011,KEDGER,MYSELF,KEDGERMYSELF,0,
0x04084011,RAAD,GASIFY,RAADGASIFY,0,
0x04084011,SANITY,DOGIES,SANITYDOGIES,0,
0x04084011,SANITY,DOURAH,SANITYDOURAH,0,
0x04084011,SANTEE,VISAED,SANTEEVISAED,0,
0x04084011,SHAWLS,FAIRLY,SHAWLSFAIRLY,0,
0x04084011,SOAPED,CARIYO,SOAPEDCARIYO,0,
0x04084011,SORD,CACARA,SORDCACARA,0,
0x04084011,TACCA,CARPS,TACCACARPS,0,
0x04084011,TOUCHY,CARP,TOUCHYCARP,0,
0x04084011,WHATD,DVIGU,WHATDDVIGU,0,
0x040a2110,SANTOS,CACAM,SANTOSCACAM,0,
0x040a2110,SHAFT,INGLES,SHAFTINGLES,0,
0x040a2110,SIDES,GUNTER,SIDESGUNTER,0,
0x040a2110,SIFTER,RULES,SIFTERRULES,0,
0x040a2110,SORBED,NODES,SORBEDNODES,0,
0x040a2110,SORBIN,NAISH,SORBINNAISH,0,
0x040a2110,THINE,GAMILY,THINEGAMILY,0,
0x04835000,BRAKED,HADED,BRAKEDHADED,0,
0x04835000,BRAKED,HEEDS,BRAKEDHEEDS,0,
0x04dce858,BINGES,POTTLE,BINGESPOTTLE,0,
0x04dce858,BUDDAH,SPEILS,BUDDAHSPEILS,0,
0x04dce858,ERASER,REFILL,ERASERREFILL,0,
0x04dce858,HUNNIC,RHAPHE,HUNNICRHAPHE,0,
0x04dce858,PRIMA,FIXER,PRIMAFIXER,0,
0x04dce858,PRIMAL,COHORN,PRIMALCOHORN,0,
0x04dce858,PRIMAS,THONGS,PRIMASTHONGS,0,
0x04dce858,PRONIC,MALLOW,PRONICMALLOW,0,
0x06e0a824,BEWRY,AVENGE,BEWRYAVENGE,0,
0x08041001,LOWERS,PEBAN,LOWERSPEBAN,0,
0x08041001,PROBIT,BERRY,PROBITBERRY,0,
0x08041001,REDARE,AUETO,REDAREAUETO,0,
0x08041001,REEFY,GOBANG,REEFYGOBANG,0,
0x08041001,SAGA,FOXIE,SAGAFOXIE,0,
0x08041001,SANGHA,SWIRD,SANGHASWIRD,0,
0x08041001,SANGH,JEREED,SANGHJEREED,0,
0x08041001,SANTA,RIDEAU,SANTARIDEAU,0,
0x08041001,SANTAR,SUADE,SANTARSUADE,0,
0x08041001,SAURA,FOXIER,SAURAFOXIER,0,
0x08041001,SHAUL,LIEFER,SHAULLIEFER,0,
0x08041001,SHAVEE,FOCUS,SHAVEEFOCUS,0,
0x08041001,SIGNA,BURGUL,SIGNABURGUL,0,
0x08041001,SIVER,REBOOT,SIVERREBOOT,0,
0x08041001,SOOK,VERRY,SOOKVERRY,0,
0x08041001,SORBS,HADADA,SORBSHADADA,0,
0x08041001,SOUR,KHUAI,SOURKHUAI,0,
0x08041001,SOURS,UNSMUG,SOURSUNSMUG,0,
