id_hex,n_candidates,candidates,popcount,kinds
0x24002913,68,01CKAWAKA;082TONNES;08HTONNES;0EBCLOTTAGE;0GCKAWAKA;0N2TONNES;0NHTONNES;0UXACETOXIM;10CCICURATE;1FCCICURATE;1UWSURCOATS;226CUTENESS;22LCUTENESS;2H6CUTENESS;2HLCUTENESS;712TOGUES;71HTOGUES;7C9BEVERAGE;7COBEVERAGE;7G2TOGUES,8,sprite|anim
0x2470e0f2,14,0Y5RONGEUR;0YKRONGEUR;0Z6PITAPAT;0ZLPITAPAT;0ZYFLANKER;4V6POTFULS;4VLPOTFULS;FY5RONGEUR;FYKRONGEUR;FZ6PITAPAT;FZLPITAPAT;FZYFLANKER;JV6POTFULS;JVLPOTFULS,13,audio
0x2524e089,4,2SBOSAZONE;HSBOSAZONE;ZC6REWELDS;ZCLREWELDS,11,sprite|anim
0x25d2c8d8,8,5E3STEMMING;5EISTEMMING;6TRSKIRTING;KE3STEMMING;KEISTEMMING;LTRSKIRTING;RD4ECHIDNAS;RDJECHIDNAS,14,audio
0x282b8491,1,RDYDECAYER,11,sprite|anim
0x28a0c119,3932,015PRESTUDY;017APOLLYON;018DIREST;018HERIOT;018HOTTIE;01KPRESTUDY;01MAPOLLYON;01NDIREST;01NHERIOT;01NHOTTIE;01SFLECNODE;01YBRAW;01YLIVERIED;01YTARRIERS;054MERRIEST;05JMERRIEST;061ALUMEL;06CSMEARY;06GALUMEL;06QCURVER,10,sprite|anim
0x28c080df,510,000ALLTHORN;001TASKLIKE;003SCHOPPEN;00FALLTHORN;00GTASKLIKE;00ISCHOPPEN;05WIZAFAT;06UACHY;07TASPARTIC;07UUNRULIER;09CZYMOLYIS;0A5AUCA;0A5MICAST;0ABBASSALIA;0ADGAUD;0AKAUCA;0AKMICAST;0AROCHYMY;0AXSALICORN;0BCGAGMEN,12,sprite|anim
0x28ce0610,22,7BDABOIDEAU;84WCAROBA;86YABDUCENS;8JWCAROBA;8LYABDUCENS;8QPCENOBITE;8SQDONDAINE;A7DDONDAINE;AMDDONDAINE;MBDABOIDEAU;N4WCAROBA;N6YABDUCENS;NJWCAROBA;NLYABDUCENS;NQPCENOBITE;NSQDONDAINE;RBVDINNERLY;VYECNIDAE;WXEBOIDAE;XVACAROBA,10,sprite|anim
0x29808408,97,25RMIASMAL;2KRMIASMAL;2STCARIOLE;347HURLERS;34MHURLERS;3J7HURLERS;3JMHURLERS;3T5GUAVINA;3TKGUAVINA;964ABULIAS;965BATHALA;96JABULIAS;96KBATHALA;981ACARINA;982MACRAME;985SWARD;98GACARINA;98HMACRAME;98KARWAR;98KSWARD,7,audio
0x2c182010,44,2S4CLEFTED;2SJCLEFTED;2WTHALLELS;44QSABANUT;4JQSABANUT;6SYTHEBAIN;8QTADDITUM;BCSABACTOR;E80SOAPSUD;E8FSOAPSUD;E9EBAWLY;EAYTARRABA;EN0SOAPSUD;ENFSOAPSUD;EOEBAWLY;HS4CLEFTED;HSJCLEFTED;HWTHALLELS;J4QSABANUT;JJQSABANUT,7,sprite|anim
0x2d688254,4,1QBBANGALOW;GQBBANGALOW;X9SBANGALOW;XOSBANGALOW,12,sprite|anim
0x2e809804,30,16RKAMASIN;1LRKAMASIN;319TRYSAIL;31OTRYSAIL;346RAILING;34LRAILING;3G9TRYSAIL;3GOTRYSAIL;3J6RAILING;3JLRAILING;3U1MUTUANT;3UGMUTUANT;G6RKAMASIN;GLRKAMASIN;I19TRYSAIL;I1OTRYSAIL;I46RAILING;I4LRAILING;IG9TRYSAIL;IGOTRYSAIL,9,sprite|anim
0x30004240,17,3B3HEMMERS;3BIHEMMERS;3ESSHIVERY;531ARSHINE;53GARSHINE;5I1ARSHINE;5IGARSHINE;IB3HEMMERS;IBIHEMMERS;IESSHIVERY;K31ARSHINE;K3GARSHINE;KI1ARSHINE;KIGARSHINE;R3PUNFUSED;RIPUNFUSED;TWPARSHINE,5,audio
0x3080820d,166,168BESHOWER;16NBESHOWER;18SSWOTTERS;1ASWAMIES;1AYHEMERA;1L8BESHOWER;1LNBESHOWER;1NSSWOTTERS;1Z1SWAVER;1ZGSWAVER;207MAINSTAY;20MMAINSTAY;22PSTIBINES;24AHEGUMENE;258FTNERR;258HERDWICK;25NFTNERR;25NHERDWICK;25TBINORMAL;2AWAMDAHL,8,sprite|anim
