function,n_ids,cluster_class,n_pairs_in_class,n_suffix_candidates,example_pair,suffix_candidates
InitEntityWithChildSprite,3,0x067dc943,1,0,0x60889602↔0x8429153c,
TeleporterActivate,3,0x06590d13,1,0,0x0bbb70ac↔0x9389b8c4,
TeleporterActivate,3,0x06141869,1,0,0x0bbb70ac↔0xc9387d8c,
TeleporterActivate,3,0x0b5638a9,1,0,0x9389b8c4↔0xc9387d8c,
InitMonkeyMageBoss,3,0x091a585d,1,0,0x0244655d↔0x181c3854,
InitMonkeyMageBoss,3,0x14b98a8b,1,0,0x0244655d↔0x8818a018,
InitMonkeyMageBoss,3,0x004984c9,1,0,0x181c3854↔0x8818a018,
GlennYntisDamageEventHandler,3,0x03c8909b,1,0,0x8b603980↔0x98004092,
GlennYntisDamageEventHandler,3,0x01fe835d,1,0,0x8b603980↔0xe0c00650,
GlennYntisDamageEventHandler,3,0x011b09e3,1,0,0x98004092↔0xe0c00650,
KloggSpawnProjectilesCallback,3,0x0008b001,1,3,0x083488e2↔0x0c34aa22,9↔BODY | O↔BODY | 26↔STAND
KloggSpawnProjectilesCallback,3,0x01be8243,1,0,0x083488e2↔0x1a2c8516,
KloggSpawnProjectilesCallback,3,0x05860bcd,1,0,0x0c34aa22↔0x1a2c8516,
ClayballSpawnSwitchBlock,3,0x002a0c21,1,0,0x082e03d8↔0x222222d8,
ClayballSpawnSwitchBlock,3,0x00006097,1,0,0x082e03d8↔0x262e0319,
ClayballSpawnSwitchBlock,3,0x03087041,1,0,0x222222d8↔0x262e0319,
PlayerProcessTileCollision,3,0x04878569,1,0,0x00248e52↔0x092b8480,
PlayerProcessTileCollision,3,0x027c91e7,1,0,0x00248e52↔0x7003474c,
PlayerProcessTileCollision,3,0x0f31e4a3,1,0,0x092b8480↔0x7003474c,
PlayerTickCallback,3,0x048af653,1,0,0x1e28e0d4↔0x40e28045,
PlayerTickCallback,3,0x0724e7f5,1,0,0x1e28e0d4↔0xe0880448,
PlayerTickCallback,3,0x0354206d,1,0,0x40e28045↔0xe0880448,
PlayerCallback_DeathAnimSetStateHandler,3,0x00184081,1,2,0x02a10c60↔0x02c00e64,F56↔FEET | F58↔LEGS
PlayerCallback_DeathAnimSetStateHandler,3,0x00102881,1,1,0x02a10c60↔0x08814c64,70↔F53
PlayerCallback_DeathAnimSetStateHandler,3,0x000520a1,1,0,0x02c00e64↔0x08814c64,
PlayerState_Falling,3,0x0020b005,1,0,0x092b8480↔0x0b2084d0,
PlayerState_Falling,3,0x03240f79,1,0,0x092b8480↔0x88b9833c,
PlayerState_Falling,3,0x07320fd9,1,0,0x0b2084d0↔0x88b9833c,
PlayerState_StandingIdle,3,0x00742187,1,0,0x00388110↔0x1c395196,
PlayerState_StandingIdle,3,0x00002147,1,2,0x00388110↔0x3838801a,70↔LEGS | F08↔START
PlayerState_StandingIdle,3,0x00746309,1,0,0x1c395196↔0x3838801a,
PlayerState_PickupItem,3,0x0003f185,1,0,0x1c395196↔0x1c3aa013,
PlayerState_PickupItem,3,0x00746309,1,0,0x1c395196↔0x3838801a,
PlayerState_PickupItem,3,0x00492011,1,1,0x1c3aa013↔0x3838801a,50↔BOTTOM
RunnEntityDamageEffect,3,0x01b2a0a5,1,0,0x1b301085↔0x1e181d10,
RunnEntityDamageEffect,3,0x0a162b69,1,0,0x1b301085↔0x40784034,
RunnEntityDamageEffect,3,0x02e922f3,1,0,0x1e181d10↔0x40784034,
PlayerCallback_8005e574,3,0x00184081,1,2,0x02a10c60↔0x02c00e64,F56↔FEET | F58↔LEGS
PlayerCallback_8005e574,3,0x00102881,1,1,0x02a10c60↔0x08814c64,70↔F53
PlayerCallback_8005e574,3,0x000520a1,1,0,0x02c00e64↔0x08814c64,
PlayerCallback_8005e650,3,0x00184081,1,2,0x02a10c60↔0x02c00e64,F56↔FEET | F58↔LEGS
PlayerCallback_8005e650,3,0x00102881,1,1,0x02a10c60↔0x08814c64,70↔F53
PlayerCallback_8005e650,3,0x000520a1,1,0,0x02c00e64↔0x08814c64,
Callback_80072de0,3,0x01b2a0a5,1,0,0x1b301085↔0x1e181d10,
Callback_80072de0,3,0x0a162b69,1,0,0x1b301085↔0x40784034,
Callback_80072de0,3,0x02e922f3,1,0,0x1e181d10↔0x40784034,
InitPhartHeadCollectible,2,0x02257505,1,0,0x8c510186↔0xa9240484,
Collectible1970IconTickCallback,2,0x00000201,1,103,0x408a6461↔0x428a6465,0↔9 | 0↔O | 0↔F03 | 0↔F13 | 0↔F23 | 0↔F33 | 0↔F43 | 0↔F53
CollectibleHamsterShieldTickCallback,2,0x00000201,1,103,0x42906465↔0xc2906565,0↔9 | 0↔O | 0↔F03 | 0↔F13 | 0↔F23 | 0↔F33 | 0↔F43 | 0↔F53
DecorPlaySoundAndAnimate,2,0x1558fdbd,1,0,0x40023e30↔0xbb781481,
EntityEventHandlerSpawnProjectile,2,0x017a9a29,1,0,0x24002913↔0x61200640,
InitPathFollowingHazard,2,0x06a598d3,1,0,0x12308128↔0x74044081,
InitEnemyAnimatedWithDeathSpawn,2,0x04d852c5,1,0,0x400c9a1d↔0x44d4c8d8,
EntityEventHandlerSpawnMultipleProjectiles,2,0x0698796d,1,0,0x082c0536↔0x8b603980,
InitCheckpointEntity,2,0x00081021,1,17,0x80729081↔0x88329285,5↔OUTER | A↔F11 | C↔ANGRY | K↔OUTER | Y↔FLY | 06↔58 | 14↔BODY | 16↔68
CollectibleScaledTickCallback,2,0x0369188f,1,0,0x2cda4604↔0xec000027,
EntityDestroyWithEffects,2,0x08c385c9,1,0,0x02ed1470↔0xc0099011,
BossState_SpawnDeathParticle,2,0x00482203,1,1,0x60de1050↔0xa0cc18d0,F37↔BELOW
BossState_DefeatedWithParticles,2,0x020921c5,1,0,0x424d1840↔0xa0cc1cd0,
CollectibleRiseState,2,0x0331f1c3,1,0,0x424129a1↔0x81421850,
CollectibleFloatState,2,0x038f221b,1,0,0x66017821↔0x82421850,
HazardActivateWithSound,2,0x0319fa59,1,0,0x7a318245↔0x8068815c,
HazardIdleWithSound,2,0x072a4493,1,0,0x407801d0↔0x62318245,
ShrineyGuardSetLoopingAttackState,2,0x0024c13b,1,0,0x40106054↔0xc00200c9,
JoeHeadJoeAttackEventHandler,2,0x00000003,1,358,0xf03391e9↔0xf033a1e9,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
JoeHeadJoeSetIdleState,2,0x0694d639,1,0,0x0b290ba2↔0x603588e8,
InitKloggBoss,2,0x0592a5ed,1,0,0x486492c4↔0xcaadc032,
EnemyHitMessageHandler,2,0x094650c3,1,0,0x0c3082c3↔0x98004092,
JoeHeadJoeBallFallCallback,2,0x0994a647,1,0,0x069580a0↔0x34014841,
JoeHeadJoeBallStartRolling,2,0x2729957d,1,0,0x0239cb33↔0x70a09ce1,
SpawnSwirlPortalEntity,2,0x04efb97d,1,0,0x3d348056↔0xca1b20cb,
SpawnPlayerDeathEffect,2,0x1194692b,1,0,0x422a0225↔0x5860c640,
PlayerState_PlayRandomIdleAnimation,2,0x028a2dc5,1,0,0x5900c41e↔0xd305d045,
PlayerState_Jump,2,0x04878569,1,0,0x00248e52↔0x092b8480,
PlayerStateInit_Walking,2,0x0ddb12d9,1,0,0x1e089010↔0x70d006d8,
PlayerState_StartSwimming,2,0x01b60a4d,1,0,0x00388110↔0x06e0a824,
FinnDeathExplosion,2,0x01e67205,1,0,0x088c5011↔0x344210b1,
PlatformStateInit_ResumeWithSound,2,0x015c91f3,1,0,0x3c389550↔0x40f8c274,
PlatformStateInit_LandFromFlight,2,0x05beef49,1,0,0x1a202d81↔0x60680076,
CreateFinnPlayerEntity,2,0x12358fc7,1,0,0x3da80d13↔0xcc6c8070,
FinnState_Spawn,2,0x0002404d,1,0,0x1b280c33↔0x3da80d13,
InitMenuSkullIconButton,2,0x029a4465,1,0,0x10094096↔0x81100030,
PasswordSubmitEventHandler,2,0x0213593d,1,0,0x42906465↔0x64221e61,
InitMenuStage3,2,0x029a4465,1,0,0x10094096↔0x81100030,
InitMenuStage4,2,0x01019fe5,1,0,0x10094096↔0xe289c059,
InitGroundPatrolEnemy,2,0x02257505,1,0,0x8c510186↔0xa9240484,
Callback_80048f40,2,0x00482203,1,1,0x60de1050↔0xa0cc18d0,F37↔BELOW
Callback_8004906c,2,0x020921c5,1,0,0x424d1840↔0xa0cc1cd0,
Callback_80067fc8,2,0x0ddb12d9,1,0,0x1e089010↔0x70d006d8,
Callback_8006b4f4,2,0x0994b1df,1,0,0x421586c2↔0x8569a090,
Callback_8006d724,2,0x01b60a4d,1,0,0x00388110↔0x06e0a824,
EntityInitCallback_800726c8,2,0x015c91f3,1,0,0x3c389550↔0x40f8c274,
Callback_80072ce8,2,0x05beef49,1,0,0x1a202d81↔0x60680076,
EnemyPatrolState,2,0x00000001,1,473,0x60b93cbd↔0x60b9bcbd,0↔00 | 0↔01 | 0↔02 | 0↔03 | 0↔04 | 0↔05 | 0↔06 | 0↔07
