id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x204e44c0,542000320,audio,9,6,1,0,0,1,1,1,1,1
0x205e40c2,543047874,audio,10,6,1,0,0,1,1,1,1,1
0x21229c5c,555916380,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x212a9c2d,556440621,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x21842018,562307096,sprite|anim,7,8,1,1,1,1,1,1,1,1
0x21a81d54,564665684,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x21e90ca0,568921248,audio,11,5,1,0,0,1,1,1,0,1
0x222222d8,572662488,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x2222b64a,572700234,audio,12,6,1,0,0,1,1,1,1,1
0x222cb0e2,573354210,audio,12,8,1,1,1,1,1,1,1,1
0x222d9098,573411480,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x22a4aa42,581216834,audio,11,8,1,1,1,1,1,1,1,1
0x23683294,594031252,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x24002913,603990291,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x246166fa,610363130,audio,15,8,1,1,1,1,1,1,1,1
0x2470e0f2,611377394,audio,13,6,1,0,0,1,1,1,1,1
0x2524e089,623173769,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x25d2c8d8,634570968,audio,14,8,1,1,1,1,1,1,1,1
0x262e0319,640549657,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x282b8491,673940625,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x28a0c119,681623833,sprite|anim,10,5,1,0,0,1,1,1,0,1
0x28c080df,683704543,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x28ce0610,684590608,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x292e8480,690914432,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x29808408,696288264,audio,7,8,1,1,1,1,1,1,1,1
0x29c0e211,700506641,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x2a3f0148,708772168,sprite,12,1,0,0,0,0,0,1,0,0
0x2a6e0410,711853072,sprite,10,4,1,0,0,1,0,0,1,1
0x2ad0f011,718336017,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x2b2ca36b,724345707,audio,16,8,1,1,1,1,1,1,1,1
0x2b3889b2,725125554,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x2b689100,728273152,sprite,10,1,0,0,0,0,1,0,0,0
0x2b79835d,729383773,sprite|anim,17,6,1,0,0,1,1,1,1,1
0x2baec615,732874261,sprite,16,1,0,0,0,0,0,1,0,0
0x2c182010,739778576,sprite|anim,7,8,1,1,1,1,1,1,1,1
0x2cda4604,752502276,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x2d688254,761823828,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x2e809804,780179460,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x2e811804,780212228,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x2e839804,780376068,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x30004240,805323328,audio,5,6,1,0,0,1,1,1,1,1
0x302010c4,807407812,audio,7,8,1,1,1,1,1,1,1,1
0x302016c4,807409348,audio,9,6,1,0,0,1,1,1,1,1
0x3080820d,813728269,sprite|anim,8,5,1,0,0,1,1,1,0,1
0x3080840d,813728781,sprite|anim,8,5,1,0,0,1,1,1,0,1
0x30808e0d,813731341,sprite|anim,10,5,1,0,0,1,1,1,0,1
0x3099991b,815372571,sprite|anim,14,5,1,0,0,1,1,1,0,1
0x30a0c119,815841561,sprite|anim,10,5,1,0,0,1,1,1,0,1
0x3128adf0,824749552,audio,14,8,1,1,1,1,1,1,1,1
0x323ac9be,842713534,sprite|anim,17,6,1,0,0,1,1,1,1,1
0x323f0148,842989896,sprite,12,1,0,0,0,0,0,1,0,0
0x326e0410,846070800,sprite,10,6,1,1,1,1,0,0,1,1
0x33689100,862490880,sprite,10,1,0,0,0,0,1,0,0,0
0x33808e1b,864063003,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x33aec615,867091989,sprite,16,1,0,0,0,0,0,1,0,0
0x34014841,872499265,audio,8,6,1,0,0,1,1,1,1,1
0x344210b1,876744881,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x35289fae,891854766,sprite|anim,17,8,1,1,1,1,1,1,1,1
0x3838801a,943226906,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x38a0c119,950059289,sprite|anim,11,5,1,0,0,1,1,1,0,1
0x392cb014,959229972,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x393c80c2,960266434,sprite|anim,12,8,1,1,1,1,1,1,1,1
0x39900619,965740057,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x3a186940,974678336,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x3a186980,974678400,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x3a3a49b2,976898482,sprite|anim,15,6,1,0,0,1,1,1,1,1
0x3c389550,1010341200,sprite|anim,13,6,1,0,0,1,1,1,1,1
0x3d348056,1026850902,sprite|anim,13,8,1,1,1,1,1,1,1,1
0x3da80d13,1034423571,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x3eb98520,1052345632,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x40023e30,1073888816,audio,9,8,1,1,1,1,1,1,1,1
0x40098a60,1074367072,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x400c989d,1074567325,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x400c991d,1074567453,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x400c9a1d,1074567709,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x40106054,1074815060,sprite|anim,7,8,1,1,1,1,1,1,1,1
0x401106da,1074857690,audio,10,8,1,1,1,1,1,1,1,1
